Year (year),State Code (state_code),State Name (state_name),District Code (district_code),District Name (district_name),Block Code (block_code),Block Name (block_name),Gram Panchayat Code (gp_code),Gram Panchayat Name (gp_name),Village Code (village_code),Village Name (village_name),Kutcha Wall & Roof Households (hh_kutcha_wall_roof),Kutcha Wall & Roof Households (%) (perct_hh_kutcha_wall_roof),PMAY Houses (pmay_house),PMAY Permanent Waitlist (pmay_permanent_wait_list),State Housing Scheme Houses (any_state_housing_scheme),State Housing Scheme Permanent Waitlist (any_state_housing_permanent_wait_list)
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192156","Karegaon","552008","Kochale",40,35.4,45,40,38,40
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192156","Karegaon","552009","Kaduchiwadi",30,20,80,80,10,10
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192156","Karegaon","552010","Karegaon",8,3.72,80,120,10,2
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192153","Vp-Dolhara","551987","Dolhare",58,19.33,25,2,15,5
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192149","Ase","551954","Dhamani",12,6.38,95,23,25,15
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192149","Ase","551955","Ase",2000,42.73,1000,50,50,20
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192149","Ase","551956","Swaminagar",110,83.33,22,10,12,10
"2020","27","Maharashtra","665","Palghar","4596","Palghar","192354","Kolwade","552204","Kolawade",0,0,0,2,0,2
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192149","Ase","551957","Shastrinagar",60,44.78,25,30,25,15
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192149","Ase","551958","Vp-Bramhangaon",15,8.11,88,60,70,30
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192165","Nashera","551988","Nashera",15,7.04,5,2,2,2
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192155","Hirve","551961","Ghanval",15,4.41,250,80,25,10
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192155","Hirve","551964","Hirve",66,17.6,85,150,50,10
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192174","Washala","551982","Washala",97,28.78,169,7,17,12
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192174","Washala","551983","Pimpalgaon",45,20,65,45,12,3
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192159","Khoch","551977","Khoch",45,10.54,205,145,56,30
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192159","Khoch","551978","Shirson",25,20.83,77,35,30,15
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192159","Khoch","551979","Vp-Dhondmaryachi Met",25,20.83,92,60,30,12
"2020","27","Maharashtra","665","Palghar","4594","Mokhada","192160","Khodala","551998","Khodala",20,1.9,22,355,20,15
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191999","Dhundalwadi","551640","Dhundalwadi",28,4.08,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191999","Dhundalwadi","551641","Pardi",8,16,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192022","Raitali","551686","Chandwad",49,20.16,25,45,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192022","Raitali","551687","Raitali",36,9.78,53,15,0,23
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192045","Veti-Varoti","551694","Suryanagar",21,35,12,13,12,12
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192045","Veti-Varoti","551695","Varoti",120,44.44,3,60,23,45
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192045","Veti-Varoti","551746","Veti",5,0.39,3,0,150,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191983","Chari-Kotabi","551612","Chari",4,0.75,45,10,12,7
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191983","Chari-Kotabi","551616","Kotabi",50,16.34,33,33,52,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192026","Saiwan Gr.","551582","Rampur",120,11.01,55,8,8,9
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192026","Saiwan Gr.","551635","Vyahali",15,18.29,12,6,5,8
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192026","Saiwan Gr.","551658","Naroli",27,10.27,25,6,8,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192026","Saiwan Gr.","551659","Saiwan",35,8.35,30,10,60,8
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192044","Vasgaon","551724","Vasgaon",48,10.98,50,15,10,10
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191978","Bapugaon Gr.","551664","Phanaswadi",4,1.44,190,20,10,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191978","Bapugaon Gr.","551666","Bapugaon",4,1.47,200,15,20,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192009","Kankradi","551597","Nandare",25,27.78,10,5,20,20
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192009","Kankradi","551599","Lashkari",57,22.8,20,10,10,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192009","Kankradi","551600","Kankradi",20,5.71,5,10,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191998","Dharampur Gr.","551669","Dharampur",200,53.76,46,76,370,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191998","Dharampur Gr.","551744","Bhavadi",25,9.19,30,0,30,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191998","Dharampur Gr.","551745","Kosesari",20,9.26,25,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192010","Kapshi","551733","Kapshi",224,69.14,100,324,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191972","Asangaon (B)","551725","Matgaon",15,5.66,10,8,1,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191972","Asangaon (B)","551726","Valade",25,24.04,20,25,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191972","Asangaon (B)","551731","Asangaon Bk.",221,68.85,123,321,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191972","Asangaon (B)","551732","Asangaon",150,40.21,223,373,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192006","Jambugaon","551579","Jambugaon",712,32.65,72,72,658,968
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192019","Osarvira Gr.","551677","Osarvira",50,10,15,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192019","Osarvira Gr.","551678","Kandarwadi",97,28.96,10,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192041","Vangaon","551739","Vangaon",49,1.45,59,45,423,100
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","237264","Gungwada","551718","Gungwada",2,0.66,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192037","Tawa Gr.","551710","Tawa",12,2.11,16,0,2,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192037","Tawa Gr.","551711","Kolhan",15,5,7,0,2,7
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192037","Tawa Gr.","551712","Dhamatane",20,6.67,20,0,21,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192037","Tawa Gr.","551713","Peth",5,3.13,2,8,2,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191977","Bahare","551642","Bramhanwadi",10,6.13,7,24,25,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191977","Bahare","551643","Bahare",40,6.97,86,183,4,50
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191977","Bahare","551644","Ghadane",36,15.06,8,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191996","Dhamangaon","551618","Dhamanagaon",43,6.4,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191996","Dhamangaon","551619","Komgaon",32,8.4,0,32,246,32
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191974","Ashagad","551608","Ashagad",26,2.36,18,110,2,2
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192032","Shensari Gr.","551661","Gangodi",20,6.73,20,132,175,132
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192032","Shensari Gr.","551665","Shensari",102,22.37,197,220,235,220
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192030","Saswand Talothe Gr.","551649","Talothe",20,14.08,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192030","Saswand Talothe Gr.","551650","Punjave",25,30.12,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192030","Saswand Talothe Gr.","551651","Sasvand",20,38.46,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191995","Dehane-Pale","551615","Pale",67,8.77,26,14,7,9
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191995","Dehane-Pale","551617","Dehane",40,6.13,29,10,8,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191990","Dabhale Gr","551737","Dabhale",25,8.33,40,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191990","Dabhale Gr","551738","Khambale",25,9.77,25,15,20,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191990","Dabhale Gr","551741","Vire",39,28.47,25,15,20,1
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191976","Badapokharan","551719","Badapokharan",15,2.92,20,25,10,5
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191971","Amboli","909231","Aomboli",250,34.48,40,3,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","237262","Dhumket","551716","Dhumket",78,18.27,18,10,8,10
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191975","Aswali","551578","Jalwai",150,49.02,7,20,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191975","Aswali","551580","Aswali",89,61.38,50,20,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191975","Aswali","551581","Khunavade",128,38.32,50,10,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192036","Tanashi Gr.","551727","Osarwadi",0,0,0,0,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192036","Tanashi Gr.","551728","Tanashi",175,31.53,0,0,90,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191997","Dhanivari Gr.","551674","Dahigaon",4,2.23,10,3,44,18
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191997","Dhanivari Gr.","551675","Deur",10,4.67,10,5,85,60
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191997","Dhanivari Gr.","551676","Dhanivari",160,52.81,160,101,185,160
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191980","Bordi","551577","Bordi",228,13.84,36,52,0,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192005","Haladpada Gr.","551622","Varkhande",56,28.72,3,9,120,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192005","Haladpada Gr.","551623","Khubale",22,14.77,22,20,5,0
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192005","Haladpada Gr.","551639","Haladpada",200,11.51,226,216,8,8
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191981","Chalani Gr.","551634","Sukad-Amba",4,0.95,49,25,14,15
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","191981","Chalani Gr.","551660","Chalani",5,0.91,258,20,17,21
"2020","27","Maharashtra","665","Palghar","4591","Dahanu","192040","Vanai Gr","551742","Vanai",143,16.27,72,143,374,505
